#,Movie Name,Year of Release,Watch Time,Movie Rating,Description(synopsis),genre,showmax_url
1741,Supercell,2023,1h 41m,4.4,"Fans of Twister will be taken by this danger-filled storm movie. A teenage boy runs away to follow his father's footsteps, legendary storm chaser Bill Brody.",Adventure,https://www.showmax.com/za/stream/movies/supercell/4f56f11e-5d6d-3cba-809f-2aaa42ec577b
1742,Superworm,2022,25m,6.4,"Superworm is super-long and super-strong, and is always saving the day. But who can save him when he is captured by the evil Wizard Lizard? Based on the book by Julia Donaldson (The Gruffalo).",Adventure,https://www.showmax.com/za/stream/movies/superworm/bd52486d-1777-310d-8669-7f2219c0b017
1743,Sure Game,2022,1h 43m,,"It takes a lot to be married and remain married, words of a friend to another. This leads a man robbing his wife and staking some money in a bet.",Drama,https://www.showmax.com/za/stream/movies/sure-game/52a68fb5-49b3-39ca-8557-0cdc3386077d
1744,Surrogate Mum,2024,2h 55m,5.5,"Ncholo the local maid is convinced by her boss Scarlet to be a surrogate mother and is promised money after the process, Nine months after, Ncholo refuse to give back the babies.",Drama,https://www.showmax.com/za/stream/movies/surrogate-mum/099d8fea-7e70-3ea5-a319-6543d684bc56
1745,Susters,13,1h 31m,7.1,"A poignant South African film about three adopted sisters who are reunited by their mother's death. This film has laughter, crying, beautiful places and interesting characters.",Drama,https://www.showmax.com/za/stream/movies/susters/a99790c6-06c5-3e65-8a73-eaa8337561b1
1746,Swapped Fate,2023,2h 17m,,"Obsessed with climbing the social ladder, a couple arranges a marriage for their daughter, thinking it's their ticket to success. Fate has other plans in store.",Drama,https://www.showmax.com/za/stream/movies/swapped-fate/e2d04301-ee14-358a-9656-f019bca41083
1747,"Swart Draak Ontwaak, Die",2023,23m,,"An origin story set in contemporary Cape Flats gangland, a town contaminated with crime and corruption and controlled by its feared ruler and Muay Thai warrior, The Kingpin.",Drama,https://www.showmax.com/za/stream/movies/swart-draak-ontwaak-die/589083ea-c392-3f86-ab00-474ab8e357b2
1748,Sweaty Palms,2023,1h 37m,,"Kayode Umar, a talented musician, grapples with Body Integrity Identity Disorder (BIID), a condition where individuals dislike their seemingly perfect bodies.",Drama,https://www.showmax.com/za/stream/movies/sweaty-palms/7b165965-4865-3485-8c21-bcbefba8a14b
1749,Sweet Girls Club,16,2h 58m,,"A group of girls that decide to do whatever it takes to make money, they swear to use every means to get wealth.",Drama,https://www.showmax.com/za/stream/movies/sweet-girls-club/7a470720-f44b-3458-b370-3b0670f84162
1750,Sweet In D Middle,2022,2h 57m,,"A young girl pay a boys school fees when they were younger, and now he is back disguised as a servant just to get close to and help her.",Drama,https://www.showmax.com/za/stream/movies/sweet-in-d-middle/e72eff93-a9b9-37aa-aba4-979109152630
1751,Sweet Stitch,2023,1h 42m,,"Lilly is a small-time fashion designer, does all she can to meet the biggest influencer in Nigeria who can change her brand and financial fortunes forever.",Drama,https://www.showmax.com/za/stream/movies/sweet-stitch/4ddb480d-f55c-3ba4-b33e-e32ac1faf2a9
1752,SWEETER THAN LOVE,2021,2h 59m,6.3,"Despite all a lady does and having an affair with her husband's best friend, he loves her still. But the table turns when her child's father shows up.",Drama,https://www.showmax.com/za/stream/movies/sweeter-than-love/de32caef-4170-3a0c-84f5-e338ed45f358
1753,Swerve,2011,1h 21m,5.4,A man crosses paths with a dirty cop and an assassin when he scoops up a bag of cash following a fatal car accident.,Action,https://www.showmax.com/za/stream/movies/swerve/fe51154c-c513-3f79-9eae-33337d513469
1754,Swindle,2023,1h 56m,6.2,"Following her father's death, Arthur and Mrs. Evelyn take every precaution to shield Charlotte from deceitful suitors.",Drama,https://www.showmax.com/za/stream/movies/swindle/61a28763-cfa8-3dbf-91bb-fd03659d6a6e
1755,Swirl,13,1h 36m,5.8,"Elaine Williams has her inner gps set on kroes control. When things fall apart - literally - will she have what it takes to embrace the rocky, bumpy, path less taken?",Comedy,https://www.showmax.com/za/stream/movies/swirl/8f1a6b44-e300-38b5-932b-79c6abaa6c19
1756,Sworn Justice,2023,1h 25m,5.0,"A gripping cat-and-mouse thriller. Kidnapped and separated during the holidays, a couple must follow the demands of their faceless tormentor if they want to survive. 2023",Action,https://www.showmax.com/za/stream/movies/sworn-justice/ceeb42fe-3801-385b-ade2-e073cc4e75ae
1757,Sy Klink Soos Lente,,1h 33m,6.3,"A mechanic's path crosses with that of his boss's daughter, a beautiful and brainy redhead. Ben recognises her, but Linda doesn't know who Ben is. Worried that he will not be good enough for her, he tells her that he is in a band…",Romance,https://www.showmax.com/za/stream/movies/sy-klink-soos-lente/c96464f4-acdc-332b-b511-1718a5d53f24
1758,Sympathy For The Devil,2023,1h 30m,5.5,This intense thriller is driven by Nicolas Cage's terrifying portrayal of a carjacker who kidnaps and forces an expectant father to drive - leading to a wild ride. 2023,Thriller,https://www.showmax.com/za/stream/movies/sympathy-for-the-devil/017898fa-0dcb-398d-8534-30077c500503
1759,Tabaluga,2018,1h 26m,6.1,"An animated fantasy musical about a young dragon who must take on an evil snowman with the help of the beautiful ice princess, Lilli.",Fantasy,https://www.showmax.com/za/stream/movies/tabaluga/53c7f7f5-b810-37f6-b381-95eb3d7ec115
1760,Tabby Mctat,2023,25m,7.3,A delightful animated movie about friendship and loyalty. Tabby McTat and his busker friend Fred charm crowds with their harmonious duets until an unexpected separation tears them apart.,Adventure,https://www.showmax.com/za/stream/movies/tabby-mctat/8712ebaa-466f-331b-8d40-756f08cdadc9
1761,TABITHA: THE MAD PRINCESS,2021,2h 59m,,A queen steals a necklace and kill its owner. Her daughter is about to be crowned queen but only if she sees a man tat will marry her. Will her dream come true?,Drama,https://www.showmax.com/za/stream/movies/tabitha-the-mad-princess/c70dece4-618f-3ead-9182-5d82e51753cb
1762,Table Manners,16,1h 44m,,Homemaker Megan's life is thrown into turmoil when it emerges that her husband faces a prison sentence for tax evasion.,Drama,https://www.showmax.com/za/stream/movies/table-manners/16727f3d-3ec3-3218-84d8-d88e55d5d36f
1763,TAD: THE LOST EXPLORER AND THE EMERALD TABLET,2022,1h 25m,6.0,"An adventure-filled animation. After Tad accidentally unleashes a curse that endangers his friends, he sets out to reverse it. 2022",Adventure,https://www.showmax.com/za/stream/movies/tad-the-lost-explorer-and-the-emerald-tablet/f5e8d456-e8b0-3056-899e-cd95ca0de7ab
1764,Tailes And Ties,2023,1h 48m,,Million thinks his wife is cheating on him and he starts an affair outside their marriage. This decision is about to ruin them as million pays a spy to kill his wife.,Drama,https://www.showmax.com/za/stream/movies/tailes-and-ties/ad32d893-be70-3942-badd-4b74bf4e31d7
1765,Tainted Heart,2023,1h 48m,,Tamara's world is shattered as she discovers that her boyfriend of four years is getting married to another woman he has been seeing for only six months.,Drama,https://www.showmax.com/za/stream/movies/tainted-heart/b2aaafc4-1679-3ed6-a790-6bb92d010326
1766,Tainted Love,2023,1h 44m,3.8,"Bella's past trauma and fear of intimacy deter suitors until her mother's health scare prompts her to reconsider marriage, facing her fears head-on.",Drama,https://www.showmax.com/za/stream/movies/tainted-love/c7aa7c78-0ce5-36f8-b09e-9fa1e68e7746
1767,Take Me Home,2023,2h 57m,6.8,"Driven by greed and wickedness, Christy kills her husband to claim all his possessions. However, her victory is short-lived.",Drama,https://www.showmax.com/za/stream/movies/take-me-home/ddcbef79-7911-3b24-9f42-b3ffe114949b
1768,Take The Night,2022,1h 18m,5.3,"An intriguing, unpredictable crime drama. A resentful man arranges a fake kidnapping of his brother, but he doesn't know that the men he's hired aren't planning on faking it.",Crime,https://www.showmax.com/za/stream/movies/take-the-night/abeb8017-e195-3495-a521-b1eaf3284f94
1769,Takers,2010,1h 42m,6.2,A notorious group of criminals find themselves up against a hardened detective when they attempt to pull off one last heist.,Action,https://www.showmax.com/za/stream/movies/takers/1adba92e-e705-351b-a40d-4dc014645a12
1770,Tales Of The Dark,2022,1h 39m,,Ekene gets tired of the village life and decides to search for greener pastures. Things become worrisome when his employer becomes his worst enemy.,Drama,https://www.showmax.com/za/stream/movies/tales-of-the-dark/bf2079d7-2f0b-365a-9330-22308b985334
1771,Tales Of Vanessa,2021,1h 22m,,"Vanessa is the only daughter of her average single mother, while growing up, she lives a reckless life.",Drama,https://www.showmax.com/za/stream/movies/tales-of-vanessa/f0de1bc4-d376-374d-ab51-5ab6351f3189
1772,Tales Of Zozo,16,1h 51m,,Life catches up with a lady as she is forced to marry someone against her wish despite the trauma she has as a teenager.,Drama,https://www.showmax.com/za/stream/movies/tales-of-zozo/88dec885-0ac4-3fa3-b662-b26699c0caed
1773,Talk To Me,2022,1h 34m,7.1,"A terrifying supernatural horror. A group of teens discover they are able to contact spirits using a mysterious embalmed hand, only for things to go too far. 2022",Horror,https://www.showmax.com/za/stream/movies/talk-to-me/779818a1-6052-3b30-b3f1-1b8c2fda8444
1774,Talking Stage,2023,1h 43m,,"Two friends find themselves attracted to the same man, so they come up with a plan to woo him to see who he will choose for a relationship.",Comedy,https://www.showmax.com/za/stream/movies/talking-stage/a28cb46a-1244-3f8c-8bf6-439781f96290
1775,Tannie Elsie,2021,49m,,Aunty Elsie is impossible. She is by far the naughtiest and biggest rebel of all the residents at the retirement home. Her children placed her there 10 years ago.,Drama,https://www.showmax.com/za/stream/movies/tannie-elsie/ba516242-9aeb-39a0-a6d1-a560b5ddb97c
1776,Tantrum,2022,1h 34m,6.4,"A lady's attitude, which she got from her father, is one of perpetual angst and throwing tantrums over the smallest things. things change when she meets a man who understands her.",Drama,https://www.showmax.com/za/stream/movies/tantrum/031bb578-288f-3cdf-87ad-8b64b988ec97
1777,TASTE OF ROYALTY,2022,2h 59m,,"After a lady is duped in Australia, she decides to journey down to Nigeria to search for the man that left her.",Drama,https://www.showmax.com/za/stream/movies/taste-of-royalty/d3d574e9-4660-3fcb-bec2-ade6060cfe41
1778,TEARS AND SORROW,2022,2h 43m,,"When the richest man in a village decides to marry a girl, he goes the extra mile. This love leads to tears and sorrow as he destroys her family.",Drama,https://www.showmax.com/za/stream/movies/tears-and-sorrow/be93df1c-bf4f-3414-a1cb-b07116b112a5
1779,Tears In The Rain,2022,1h 59m,5.8,"After blackmailing a woman in the city just to ruin her home, a man is caught and later sent to jail. Little did he know that all he did was within the family.",Drama,https://www.showmax.com/za/stream/movies/tears-in-the-rain/c9c9e0a0-d53e-3c1d-8766-679c8708d3ca
1780,Ted,2012,1h 41m,7.9,"Mark Wahlberg's best friend is a living, breathing and foul-mouthed teddy bear in this very adult comedy that was nominated for an Academy Award.",Comedy,https://www.showmax.com/za/stream/movies/ted/4be245c2-7639-3102-9c81-be2e5e6fc207
1781,Ted 2,2015,1h 50m,6.3,"Mark Wahlberg and Seth MacFarlane team up again for an insane furry sequel. Ted and his new wife want a family, but first, he must prove that he's a person in a court of law.",Comedy,https://www.showmax.com/za/stream/movies/ted-2/9b050a2c-0a44-387f-80bc-5d4c299ac32a
1782,Teenage Mutant Ninja Turtles: Mutant Mayhem,2023,1h 35m,7.2,Everyone's favourite crime-fighting reptiles return. The turtles work to earn the love of New York while facing down an army of mutants.,Action,https://www.showmax.com/za/stream/movies/teenage-mutant-ninja-turtles-mutant-mayhem/a013ad55-354c-3dd1-938f-52039a81f02a
1783,Tega The Bus Conductor,2024,2h 33m,5.8,Tega the bus conductor is about to have a changed destiny after her stubbornness gets her a man who will love her against all odds and her stubbornness.,Drama,https://www.showmax.com/za/stream/movies/tega-the-bus-conductor/0051e600-ee47-314f-b0de-e1f0c0a112f6
1784,Tego,13,1h 32m,,"After a failed marriage, a woman bewitches a young man in order to keep him devoted to her.",Drama,https://www.showmax.com/za/stream/movies/tego/af689b2b-f15e-3979-813f-7cf5c1f64807
1785,Tejiri,2021,1h 50m,,A displaced man mysteriously ends up in a brutal prison but is thought to be missing on the outside. He must define his place in this vicious new world if he is to survive.,Drama,https://www.showmax.com/za/stream/movies/tejiri/7ee6f57b-0bfc-3ec9-bbc0-e442f27fa0e3
1786,Tell Them You Love Me,2023,1h 42m,6.9,"Anna Stubblefield was an esteemed university professor who became embroiled in a controversial affair with Derrick Johnson, a non-verbal man with cerebral palsy. A dark true crime documentary from Sky.",Documentary,https://www.showmax.com/za/stream/movies/tell-them-you-love-me/807d67ce-d403-35bf-8beb-99861e44f05a
1787,Temple Run,2022,2h 32m,,"Ukeje and his daughter Nsogbu are once a shadow over the community. Their thievery is a constant blight, leaving a trail of empty pockets and violated trust.",Drama,https://www.showmax.com/za/stream/movies/temple-run/e79f9e79-0087-3946-a4eb-c0b27fcbb2da
1788,TENDER HEART,2021,2h 59m,,"Chibueze always thinks he comes from the best family until he lost everything he has, now it is time to truly know who truly loves him.",Drama,https://www.showmax.com/za/stream/movies/tender-heart/be74afa9-c44d-34b5-93f1-f2c25237ce8c
1789,Tenderness Of Deceit,2021,1h 39m,,A cheating husband decides to cheat more on his wife; thinking his wife is also cheating on him.,Drama,https://www.showmax.com/za/stream/movies/tenderness-of-deceit/57169fd8-42a0-3843-8e78-6880cda3c715
1790,Tess,2016,1h 26m,7.3,"A touching and gritty South African drama about choices and consequences. When a sex worker falls pregnant she tries fights to change her life, but can she escape it.",Drama,https://www.showmax.com/za/stream/movies/tess/6aa63c42-9033-389a-847d-e22391f75ae9
1791,Test Of Love,2021,1h 44m,6.6,Michael and Sofia have a good relationship until a friend places a bet with his music executive friend Don P to lure Sofia.,Drama,https://www.showmax.com/za/stream/movies/test-of-love/f5a7e029-31a8-39bc-855d-04e3b233fcf7
1792,Thando,16,1h 36m,8.3,"A heart-wrenching South African drama. Follow Thando, a high school girl who is lured into a life filled with blessers, violence, peer pressure, bullying, and so much more.",Drama,https://www.showmax.com/za/stream/movies/thando/85242ec8-cd2f-3429-a09c-c123d0e1bee7
1793,Thank God It's Friday,2023,2h 59m,5.5,Leonard finds himself torn between his love for Monique and Kaka. His indecisiveness about who to commit to eternally leaves everyone wondering who he will ultimately choose.,Drama,https://www.showmax.com/za/stream/movies/thank-god-its-friday/59d8846b-84af-36fb-bbe1-a4092cab6ddb
1794,Thanksgiving,2023,1h 41m,6.2,No one is safe in this holiday-themed slasher. A serial killer embarks on a murder spree in Plymouth following a tragic Black Friday riot at the town's superstore. 2023,Horror,https://www.showmax.com/za/stream/movies/thanksgiving/8ff1ba88-9070-360d-8423-041251a34c47
1795,That Friend,2023,1h 49m,7.1,"When a young nurse discovers promising love, her life feels complete. Yet, the wheel of temptation spins, casting a shadow over her newfound marital bliss.",Drama,https://www.showmax.com/za/stream/movies/that-friend/99e933c0-88c0-3353-a2a4-55c193824fc6
1796,That One Night,2023,1h 38m,5.9,"After a CEO's fling with a hotel cleaner, karma strikes when the cleaner's roommate reveals the affair, leading to a rollercoaster of trust, betrayal, and redemption.",Drama,https://www.showmax.com/za/stream/movies/that-one-night/1904bb35-0992-363f-b9dc-78215dbaf4b3
1797,Thato Ya Modimo,2022,1h 31m,,"When her best friend passes away tragically, a woman steps up to help the husband tackle parenthood without his beloved wife. This decision takes them on a journey that might change the course of their lives forever.",Drama,https://www.showmax.com/za/stream/movies/thato-ya-modimo/58bc2fe0-71c2-319d-9509-734885d94d18
1798,The 355,2022,2h 2m,5.6,A formidable female ensemble propels this spy thriller. Four female spies team up to retrieve a top-secret weapon when it falls into the wrong hands.,Action,https://www.showmax.com/za/stream/movies/the-355/5340bb57-23dd-3ae3-8813-8aabaa17f97d
1799,The 40 Year Old Virgin,2005,1h 51m,,"Steve Carell leads a great cast in this comedy. A nerd is taunted by his friends because he is a forty year old virgin, but the pressure only mounts when he meets a single mother. 2005",Comedy,https://www.showmax.com/za/stream/movies/the-40-year-old-virgin/01210b56-e444-32c2-a2f6-387282d44573
1800,The Academy Of Magic,2020,1h 30m,3.2,"An adventure-filled animation. Aura is at the academy to learn how to use her magic, but she discovers that the school has many dark secrets that she must uncover.",Adventure,https://www.showmax.com/za/stream/movies/the-academy-of-magic/371b6b98-599e-3e47-abdd-135d5654f2f8
1801,The Accidental King,2023,1h 23m,7.3,"Ebuka is accidentally crowned king in his kingdom, but this mistake will the greatest mistake ever made by the gods.",Drama,https://www.showmax.com/za/stream/movies/accidental-king-the/efbc3e99-bff7-381a-a9bf-fb0dc6d84055
1802,The Adjustment Bureau,2011,1h 41m,7.0,Matt Damon challenges his own fate in this sci-fi thriller. An up-and-coming politician falls for a ballet dancer. But shadowy forces threaten to keep them apart.,Sci-Fi,https://www.showmax.com/za/stream/movies/the-adjustment-bureau/8e7091d9-ed86-3477-95df-087398fc6a79
1803,The Adventures Of Supermama,2019,1h 29m,,"Desmond Dube and Nomsa Buthelezi star in this hilarious family film. After meeting a mysterious Kung Fu master, Doris becomes a crime fighter.",Comedy,https://www.showmax.com/za/stream/movies/the-adventures-of-supermama/397eb74a-a607-302c-a8e2-2cd7d53a5bcc
1804,The Amazing Maurice,2022,1h 33m,6.2,"A feel-good animation. A goofy streetwise cat has the perfect money-making scam that involves a dumb-looking, pipe-playing kid and a horde of strangely literate rats.",Adventure,https://www.showmax.com/za/stream/movies/amazing-maurice-the/324a12c7-09fc-37ca-9034-0107e31a482c
1805,The Amazing Spider-Man 2,2014,2h 15m,6.6,Andrew Garfield returns for a second round of web-slinging action.  Dangerous new enemies and family secrets weigh heavy on young Peter Parker as he struggles with his destiny. 2014,Action,https://www.showmax.com/za/stream/movies/the-amazing-spider-man-2/654d2c0c-3297-3fc2-a867-1556291e6b18
1806,The Amazing Spiderman,2012,2h 10m,6.9,Andrew Garfield stars as the webslinger in this revamped superhero instalment that sees a young Peter Parker discovering his newfound abilities and uncovering his mysterious past. 2012,Action,https://www.showmax.com/za/stream/movies/the-amazing-spiderman/8de81b3d-845c-342e-88df-95412c700178
1807,The Angry Birds Movie,2016,1h 33m,6.3,"A delightfully fun animation based of the hit video games that took this world by storm. An island populated with happy flightless birds is visited by mysterious pigs, and the only angry bird on the Island is suspicious of them. 2016",Action,https://www.showmax.com/za/stream/movies/the-angry-birds-movie/1187b849-8c46-31a4-83d6-871c86911ab4
1808,The Angry Birds Movie 2,2019,1h 32m,6.4,"This fast-paced, funny sequel is led by a starry voice cast consisting of Rachel Bloom and Leslie Jones. The pigs and birds put their past behind them to fight against an enemy. 2019",Comedy,https://www.showmax.com/za/stream/movies/the-angry-birds-movie-2/e6f33819-020d-3dec-bbd1-c1dd53fb6cf4
1809,The Arrival,2022,2h 59m,6.2,A prince escapes the cold hands of death and ends up in the hands of his one true love. Little did he know that those that plan his plot are withing his household.,Drama,https://www.showmax.com/za/stream/movies/the-arrival/8a942349-fe8f-31bf-a0b5-26e518882f0d
1810,The Aviary,2022,1h 35m,4.2,"A thought-provoking, chilling psychological thriller. Two women flee into the New Mexican desert to escape an insidious cult. However, they feel its leader is following them. 2022",Thriller,https://www.showmax.com/za/stream/movies/the-aviary/8f48b693-198b-3df6-8690-61f2669149bc
1811,The Baecation,2023,1h 45m,,Steve and his friends' bachelor getaway at an Airbnb turns into a chilling ordeal as their peaceful retreat unravels into fear and unsettling ambiguity.,Drama,https://www.showmax.com/za/stream/movies/the-baecation/2ba580d8-b0c5-353d-87ed-bb565f4382b8
1812,The Barkers : Mind The Cats!,2020,1h 13m,5.5,"An adventure-filled animation. While on holiday with his dog family, Kid is eager to play with his siblings, but they are too busy. Luckily, Kid finds new friends: Cats.",Kids,https://www.showmax.com/za/stream/movies/the-barkers--mind-the-cats/39ac2018-e942-333d-99a5-f4ffd5780aa6
1813,The Barkers Team,2023,1h 24m,,"A fun musical animation. The Barkers dream of becoming famous. When Kat becomes their neighbour, not only friendship but also rivalry develops between them. 2023",Kids,https://www.showmax.com/za/stream/movies/the-barkers-team/31fc0421-0378-3e10-96ec-4042e348dd50
1814,The Beekeeper,2024,1h 45m,6.3,A revenge-filled thriller driven by Jason Statham. A former operative of a powerful and clandestine organisation known as Beekeepers is on a brutal campaign for vengeance. 2024,Action,https://www.showmax.com/za/stream/movies/the-beekeeper/9fff7a32-3a66-3fe4-9ddc-79fc0e0f791b
1815,The Best Man,1999,1h 55m,6.7,Friendships are tested in this romcom starring Taye Diggs. A man's autobiographical 'tell-all' book exposes his friends' secrets putting his friend's wedding in jeopardy,Comedy,https://www.showmax.com/za/stream/movies/the-best-man/d7425031-d329-30de-aa27-342fdd3a4f52
1816,The Best Man,2023,1h 32m,6.7,"Dolph Lundgren and Luke Wilson star in this action film in which a wedding turns into a hostage situation. The best man, groom, and their drunken pal must save the day.",Action,https://www.showmax.com/za/stream/movies/the-best-man/d7425031-d329-30de-aa27-342fdd3a4f52
1817,The Best Man Holiday,2013,1h 58m,6.6,"Taye Diggs, Morris Chestnut and the crew return for the sequel to the hit film, The Best Man. But, if they are all want to get along, they must first settle old differences.",Comedy,https://www.showmax.com/za/stream/movies/the-best-man-holiday/b1637751-83ef-3df3-82d2-619cb366209c
1818,The Best Worst Love Story Ever Told,2022,2h 8m,,"After a love prayer gone wrong, two best friends desperate for love run against time to get their men back when an unexpected switch happen.",Romance,https://www.showmax.com/za/stream/movies/the-best-worst-love-story-ever-told/f9f269e5-231c-315c-a676-98a8420af230
1819,The Beta Test,2021,1h 33m,6.1,Jim Cummings drives this dark comedy thriller. An engaged Hollywood agent's life is upended when he accepts an anonymous invitation to a no-strings-attached sexual encounter.,Thriller,https://www.showmax.com/za/stream/movies/the-beta-test/c558ccf1-a384-3f45-b640-0fe987f9e446
1820,The Big Lebowski,1998,1h 52m,8.1,"This Coen Brothers-directed cult classic stars Jeff Bridges as an ordinary ""dude"" drawn into a web of deceit after a case of mistaken identity. It's dark humour at its best. 1998",Comedy,https://www.showmax.com/za/stream/movies/the-big-lebowski/c4a456ce-0a85-3410-a4cb-3d682c76036a
1821,The Big Six,2022,1h 31m,,A gang of human traffickers trooped into the country with the intention to send people abroad but ends up putting them to slavery.,Drama,https://www.showmax.com/za/stream/movies/big-six-the/c15f3484-6cb6-3899-b424-9c2fc3cb39bc
1822,The Big Ugly,2020,1h 46m,5.1,Vinnie Jones leads this crime thriller. A high-stakes money laundering deal between London mobsters and a West Virginia oilman turns sour after an incident.,Crime,https://www.showmax.com/za/stream/movies/the-big-ugly/37df1742-4b30-33ce-987f-5849ec36c3d9
1823,The Billionaire Ladies,2021,2h 49m,,"The devil gives in hundreds and takes back in thousands, the billionaire ladies sell their lives for wealth and pay dearly.",Drama,https://www.showmax.com/za/stream/movies/the-billionaire-ladies/c73637bf-1cb8-30ce-a291-e462e441b123
1824,The Black Heart,2022,2h 58m,,A lady sold her soul and sacrificed her father for money. Little does she know that her father's soul is not happy with her.,Drama,https://www.showmax.com/za/stream/movies/the-black-heart/b210c962-67dd-31e6-8f95-e7d9a4caf2a5
1825,The Black Widow,2023,2h 7m,6.0,"Meg pays five million for Vera's bride price, and her job when Vera becomes a widow is to continue to sleep with the dead body of the man that will be called her husband.",Drama,https://www.showmax.com/za/stream/movies/the-black-widow/9ab9cc42-6841-3e0d-8b06-352b813145de
1826,The Blackening,2023,1h 33m,6.0,Fans of Scream will enjoy this viciously funny slasher film. Seven friends must rely on their street smarts and horror movie knowledge when trapped in a cabin with a vindictive killer. 2023,Horror,https://www.showmax.com/za/stream/movies/the-blackening/dcbd9e60-4d22-31e7-947f-f1abe8c5fa4c
1827,The Blind Queen,2023,2h 59m,,"Chimtualam the blind girl gets help from Ikemba, that is how she falls in love with him and gives him her crowned birth right, but he would leave her for her sworn enemy.",Drama,https://www.showmax.com/za/stream/movies/the-blind-queen/9f10bb99-23ca-34fb-b983-211d59885d3f
1828,The Bond,2022,2h 59m,8.2,"A brother's scorn for his brother could cause unrepairable damage, but the bond that keeps them makes forgiveness inevitable.",Drama,https://www.showmax.com/za/stream/movies/the-bond/67e8db0b-0bc3-3ed1-9b7d-f9b73942ad96
1829,The Bone Collector,1999,1h 53m,6.7,Denzel Washington and Angelina Jolie face a great evil in this crime thriller. A paralyzed forensics expert and a young cop must work together to stop a brutal serial killer. 1999,Crime,https://www.showmax.com/za/stream/movies/the-bone-collector/bb0394e6-d8e7-3b29-a919-ed7553c61149
1830,The Boss,2016,1h 34m,5.4,"Melissa McCarthy gives a savage act in this riotous comedy. A titan of the industry goes to prison for insider trading. On her release, she tries to mend the bridges she burnt. 2016",Comedy,https://www.showmax.com/za/stream/movies/the-boss/9d8b337b-055e-3c3f-a392-6299e055ca9f
1831,The Boss,2022,2h 1m,5.4,A strict boss who forced out some assistance to resigned because of his attitude and try to stifle Sophia for getting the praise. His goal is to expose Sophia's academic deceit.,Drama,https://www.showmax.com/za/stream/movies/the-boss/9d8b337b-055e-3c3f-a392-6299e055ca9f
1832,The Bounty Hunter,2010,1h 46m,5.5,"In this action comedy, Jennifer Aniston and Gerard Butler give a new meaning to the term dysfunctional couple when a bounty hunter learns that his next target is his ex-wife. 2010",Comedy,https://www.showmax.com/za/stream/movies/the-bounty-hunter/c72225ff-5052-3a8b-8ffa-f0d9b2e5f92d
1833,The Bourne Identity,2002,1h 53m,7.8,"Matt Damon stars in this film that expertly blends smarts, emotion and gritty action. A man wakes up with amnesia, and learns he's a human weapon the CIA wants eliminated. 2002",Action,https://www.showmax.com/za/stream/movies/the-bourne-identity/d58f7f13-52ae-3d70-9b26-e4e68c1b8ec8
1834,The Bourne Legacy,2012,2h 9m,6.6,"Jeremy Renner joins this gripping franchise. When the names of all the black ops agents are threatened with exposure, the agency tries to get rid of everyone on the list. 2012",Action,https://www.showmax.com/za/stream/movies/the-bourne-legacy/f691f4eb-b1e0-3c77-b3e3-4fd82fee16d3
1835,The Bourne Supremacy,2004,1h 43m,7.7,"The second in this highly successful action franchise, sees Matt Damon reprise his role as a former CIA assassin. This time he's forced to resume his former life after being framed. 2004",Action,https://www.showmax.com/za/stream/movies/the-bourne-supremacy/8402a486-f259-3f8c-af68-07ef4843f58d
1836,The Bourne Ultimatum,2007,1h 50m,8.0,"In this three-time Oscar winner, the iconic Bourne trilogy reaches a riveting climax as Jason Bourne looks for the origins of his life as a trained killer.",Action,https://www.showmax.com/za/stream/movies/the-bourne-ultimatum/8f2c931f-f31d-337c-ad54-03ebd80af4b6
1837,The Boy,2015,1h 46m,6.0,An intimate portrait of a 9-year-old sociopath's growing fascination with death.,Horror,https://www.showmax.com/za/stream/movies/the-boy/883a271a-3ac0-3ad3-83f0-1f6ff7d7ba52
1838,The Boy Next Door,2015,1h 26m,4.7,"Jennifer Lopez stars in this gripping thriller. After being cheated on, a married woman begins an affair with her neighbour's son, but it takes a dark and dangerous turn.",Thriller,https://www.showmax.com/za/stream/movies/the-boy-next-door/16189bed-4fe0-3fad-b244-9b7a0bfd645e
1839,The Break Up,2006,1h 42m,5.8,"Former real-life couple Vince Vaughn and Jennifer Aniston play a once-happy twosome who go to war after breaking up, with things getting nastier by the day. 2006",Comedy,https://www.showmax.com/za/stream/movies/the-break-up/f882c993-7cac-3890-845c-07ff86c59701
1840,The Break Up,2022,1h 25m,5.8,"Eva is out to dare courtesy, demanding nothing but a pound of flesh from Owen, who has made her beautiful life miserable..",Drama,https://www.showmax.com/za/stream/movies/the-break-up/f882c993-7cac-3890-845c-07ff86c59701
1841,The Broken Heart,2022,2h 59m,,"Nonso did Ngozi wrong, gets her pregnant and dumps her for a city girl. Now, he is about to see pain like never before.",Drama,https://www.showmax.com/za/stream/movies/the-broken-heart/52d91519-89a5-3a45-8c90-f48f172a3445
1842,The Burial,2023,2h 59m,7.1,"After Chijioke's dad dies due to his arrogant life and selling up his fathers properties, he refuse to let the burial hold because his brothers are not involved.",Drama,https://www.showmax.com/za/stream/movies/the-burial/df071918-7b39-39e6-b5cb-f0e6923afea6
1843,The Butcher'S Soul,2024,1h 27m,,Stakes are high in this pulsating action-thriller about a butcher who is granted nine days by the Angel of Death to avenge his family - and bring her nine souls in exchange for his daughter's life.,Action,https://www.showmax.com/za/stream/movies/the-butchers-soul/a935dd36-c16e-3cbb-88b2-9e0cef6bb686
